name,location,Date,Rating,Review,Image_Links,clean_text
Helen,"Wichita Falls, TX","Reviewed Sept. 13, 2023",5.0,"Amber and LaDonna at the Starbucks on Southwest Parkway are always so warm and welcoming. There is always a smile in their voice when they greet you at the drive-thru. And their customer service is always spot-on, they always get my order right and with a smile. I would actually give them more than 5 stars if they were available.",['No Images'],amber and ladonna at the starbucks on southwest parkway are always so warm and welcoming there is always a smile in their voice when they greet you at the drivethru and their customer service is always spoton they always get my order right and with a smile i would actually give them more than stars if they were available
Courtney,"Apopka, FL","Reviewed July 16, 2023",5.0,"** at the Starbucks by the fire station on 436 in Altamonte Springs, FL made my day and finally helped me figure out the way to make my drink so I’d love it. She took time out to talk to me for 2 minutes to make my experience better than what I’m used to. It was much appreciated! I’ve had bad experiences one after another at the Starbucks that’s closest to me in my work building with my drinks not being great along with not great customer service from specific baristas. Niko was refreshing to speak to and pleasant. The drink was perfect! Store 11956",['No Images'],at the starbucks by the fire station on in altamonte springs fl made my day and finally helped me figure out the way to make my drink so id love it she took time out to talk to me for minutes to make my experience better than what im used to it was much appreciated ive had bad experiences one after another at the starbucks thats closest to me in my work building with my drinks not being great along with not great customer service from specific baristas niko was refreshing to speak to and pleasant the drink was perfect store
Daynelle,"Cranberry Twp, PA","Reviewed July 5, 2023",5.0,I just wanted to go out of my way to recognize a Starbucks employee Billy at the Franklin Park location! I was running late to work & placed an order at the wrong location and not only did he make my order with a smile he made it within 60 seconds! Thank you SOO much I was having a bad morning and people like you just make this world a better place.,['https://media.consumeraffairs.com/files/cache/reviews/starbucks_804950_thumbnail.jpg'],i just wanted to go out of my way to recognize a starbucks employee billy at the franklin park location i was running late to work placed an order at the wrong location and not only did he make my order with a smile he made it within seconds thank you soo much i was having a bad morning and people like you just make this world a better place
Taylor,"Seattle, WA","Reviewed May 26, 2023",5.0,"Me and my friend were at Starbucks and my card didn’t work. Thankful the worker there, paid for our drinks. And was very nice about it, it didn’t seem to bother him that he paid for our drinks. This made my day, but made me look like a fool because my card didn’t work. All thanks to Dillon. At Shoreline WA in Safeway. Thank you so much Dillon for the help, support and, kindness. I rate this 1000/10 if I could but, other than that, 10/10.",['No Images'],me and my friend were at starbucks and my card didnt work thankful the worker there paid for our drinks and was very nice about it it didnt seem to bother him that he paid for our drinks this made my day but made me look like a fool because my card didnt work all thanks to dillon at shoreline wa in safeway thank you so much dillon for the help support and kindness i rate this if i could but other than that
Tenessa,"Gresham, OR","Reviewed Jan. 22, 2023",5.0,I’m on this kick of drinking 5 cups of warm water. I work for Instacart right now and every location of Starbucks I was given free hot water because I asked for it without being charged. I really appreciate Starbucks for giving me the opportunity to do such thing. That’s why I give them five stars. They fully have my support. They’re super nice and professional and the coffee is great. Go to Starbucks.,"['https://media.consumeraffairs.com/files/cache/reviews/starbucks_793785_thumbnail.jpeg', 'https://media.consumeraffairs.com/files/cache/reviews/starbucks_793787_thumbnail.jpg']",im on this kick of drinking cups of warm water i work for instacart right now and every location of starbucks i was given free hot water because i asked for it without being charged i really appreciate starbucks for giving me the opportunity to do such thing thats why i give them five stars they fully have my support theyre super nice and professional and the coffee is great go to starbucks
Alyssa,"Sunnyvale, TX","Reviewed Sept. 14, 2023",1.0,We had to correct them on our order 3 times. They never got it right then the manager came over to us and said we made her employee uncomfortable because we were trying to correct our order. The manager tried was racist against my stepmom (Chinese) taking over her but when I (**) would talk she would stop talking and listen to me.,['No Images'],we had to correct them on our order times they never got it right then the manager came over to us and said we made her employee uncomfortable because we were trying to correct our order the manager tried was racist against my stepmom chinese taking over her but when i would talk she would stop talking and listen to me
ken,"Spring Hill, FL","Reviewed Sept. 8, 2023",1.0,"I have tried Starbucks several different times in different locations just in case it was just the one store. But it's not. If you like coffee that taste like dirt scooped off the ground at a garbage dump, then this is the place for you.",['No Images'],i have tried starbucks several different times in different locations just in case it was just the one store but its not if you like coffee that taste like dirt scooped off the ground at a garbage dump then this is the place for you
Nikki,"Asheville, NC","Reviewed Aug. 25, 2023",1.0,"Starbucks near me just launched new fall foods and beverages yesterday. By noon yesterday they were out of all new items. The fall launch is huge and many people look forward to it all year. Maybe if you don’t have enough product to last even a couple of days, push back the launch until you do? I was so happy to get the email that it had come out that I left work on my break to brighten my day and so very disappointed to get there at 12:30pm and find out that it was all gone. Please Starbucks, do better.",['No Images'],starbucks near me just launched new fall foods and beverages yesterday by noon yesterday they were out of all new items the fall launch is huge and many people look forward to it all year maybe if you dont have enough product to last even a couple of days push back the launch until you do i was so happy to get the email that it had come out that i left work on my break to brighten my day and so very disappointed to get there at pm and find out that it was all gone please starbucks do better
Alex,"Reisterstown, MD","Reviewed Aug. 5, 2023",1.0,"I ordered online for the Reisterstown Rd, St Thomas SC 99000 and they gave me the wrong drink size so ordered a venti they gave me a grande. Just a bit upset that I paid over 5 bucks for a drink and got the wrong thing.",['No Images'],i ordered online for the reisterstown rd st thomas sc and they gave me the wrong drink size so ordered a venti they gave me a grande just a bit upset that i paid over bucks for a drink and got the wrong thing
Sunny,"Zionville, Other","Reviewed Aug. 4, 2023",1.0,"Staff at the Smythe St. Superstore location in Fredericton, NB often seen tired but today, a woman named Senoa (Senora?) was morose, glum, uncommunicative (even after I tried to engage her to sympathize, as there was obviously a bad mood happening), scruffy looking, almost rude. And, the Americano I ordered tastes watery. I go to Starbucks for a treat after a long day. It a difficult experience, to ease stress and have a pleasant experience. I’m going to sell a different location after today’s grumpy girl.",['No Images'],staff at the smythe st superstore location in fredericton nb often seen tired but today a woman named senoa senora was morose glum uncommunicative even after i tried to engage her to sympathize as there was obviously a bad mood happening scruffy looking almost rude and the americano i ordered tastes watery i go to starbucks for a treat after a long day it a difficult experience to ease stress and have a pleasant experience im going to sell a different location after todays grumpy girl
